Id,breadwinner_ns__TranDate__c
a9aDo000000DOaFIAW,2021-07-01
a9aDo000000DOaBIAW,2023-01-01
a9aDo000000DOaGIAW,2023-01-01
a9aDo000000DOZjIAO,2022-03-01
a9aDo000000DOZhIAO,2021-02-01
a9aDo000000DOZmIAO,2022-11-01
a9aDo000000DOalIAG,2022-12-01
a9aDo000000DOaaIAG,2021-11-01
a9aDo000000DObSIAW,2021-10-01
a9aDo000000DObTIAW,2022-06-01
a9aDo000000DObUIAW,2022-06-01
a9aDo000000DObbIAG,2021-12-01
a9aDo000000DOYhIAO,2022-12-01
a9aDo000000DOZTIA4,2021-09-01
a9aDo000000DOaIIAW,2022-01-01
a9aDo000000DOaPIAW,2022-08-01
a9aDo000000DOagIAG,2021-04-01
a9aDo000000DOZpIAO,2021-11-01
a9aDo000000DOXuIAO,2021-03-01
a9aDo000000DObwIAG,2023-01-01
a9aDo000000DOblIAG,2022-01-01
a9aDo000000DOa8IAG,2021-10-01
a9aDo000000DOa6IAG,2021-09-01
a9aDo000000DOXmIAO,2022-01-01
a9aDo000000DOXpIAO,2022-04-01
a9aDo000000DOaDIAW,2021-03-01
a9aDo000000DOamIAG,2021-04-01
a9aDo000000DOauIAG,2021-10-01
a9aDo000000DOaEIAW,2021-02-01
a9aDo000000DOawIAG,2021-09-01
a9aDo000000DOc4IAG,2021-05-01
a9aDo000000DOa4IAG,2021-06-01
a9aDo000000DOaKIAW,2022-07-01
a9aDo000000DOZwIAO,2022-02-01
a9aDo000000DOaiIAG,2021-03-01
a9aDo000000DOXfIAO,2021-08-01
a9aDo000000DObzIAG,2022-03-01
a9aDo000000DOXwIAO,2021-03-01
a9aDo000000DOXYIA4,2022-03-01
a9aDo000000DOZ9IAO,2022-10-01
a9aDo000000DObdIAG,2022-04-01
a9aDo000000DOarIAG,2021-04-01
a9aDo000000DOazIAG,2021-11-01
a9aDo000000DOXEIA4,2022-01-01
a9aDo000000DObuIAG,2022-01-01
a9aDo000000DOcBIAW,2022-09-01
a9aDo000000DOa9IAG,2021-03-01
a9aDo000000DOc7IAG,2021-07-01
a9aDo000000DOayIAG,2022-05-01
a9aDo000000DOc9IAG,2022-03-01
a9aDo000000DOc5IAG,2021-09-01
a9aDo000000DOYlIAO,2022-02-01
a9aDo000000DOcAIAW,2021-11-01
a9aDo000000DOYRIA4,2021-11-01
a9aDo000000DObFIAW,2022-05-01
a9aDo000000DOXKIA4,2023-01-23
a9aDo000000DObtIAG,2022-07-01
a9aDo000000DOXAIA4,2023-01-23
