Id,Name,dfsle__Envelope__c,dfsle__FullName__c,dfsle__Sequence__c,dfsle__SourceId__c,dfsle__Type__c,dfsle__IsReplacement__c,dfsle__Replacement__c,dfsle__LastModified__c
a4NDo0000012RPSMA2,Q-60494-20230228-1818.pdf,a4VDo000000wrhZMAQ,Q-60494-20230228-1818.pdf,2,069Do000003S3K2IAK,ContentVersion,false,,2023-02-28T23:18:48.000+0000
a4NDo0000012RPNMA2,Q-60485-20230228-1517.pdf,a4VDo000000wri7MAA,Q-60485-20230228-1517.pdf,2,069Do000003S3IHIA0,ContentVersion,false,,2023-02-28T23:18:05.000+0000
a4NDo0000012RPDMA2,Q-60470-20230228-1812.pdf,a4VDo000000wri2MAA,Q-60470-20230228-1812.pdf,2,069Do000003S3IQIA0,ContentVersion,false,,2023-02-28T23:12:32.000+0000
a4NDo0000012RP8MAM,Q-28678-20230228-1510.pdf,a4VDo000000wrhxMAA,Q-28678-20230228-1510.pdf,2,069Do000003S3IGIA0,ContentVersion,false,,2023-02-28T23:11:03.000+0000
a4NDo0000012RP0MAM,Q-60490-20230228-1502.pdf,a4VDo000000wrhsMAA,Q-60490-20230228-1502.pdf,2,069Do000003S2AIIA0,ContentVersion,false,,2023-02-28T23:02:53.000+0000
a4NDo0000012ROtMAM,Q-30308-20230228-1805.pdf,a4VDo000000wrhnMAA,Q-30308-20230228-1805.pdf,2,069Do000003S2QxIAK,ContentVersion,false,,2023-02-28T23:05:28.000+0000
a4NDo0000012ROeMAM,Q-59826-20230228-1749.pdf,a4VDo000000wrhYMAQ,Q-59826-20230228-1749.pdf,2,069Do000003S2NQIA0,ContentVersion,false,,2023-02-28T22:50:02.000+0000
a4NDo0000012ROTMA2,Q-60476-20230228-1454.pdf,a4VDo000000wrhTMAQ,Q-60476-20230228-1454.pdf,2,069Do000003S2PQIA0,ContentVersion,false,,2023-02-28T22:55:37.000+0000
a4NDo0000012RORMA2,Q-60014-20230228-1735.pdf,a4VDo000000wrhOMAQ,Q-60014-20230228-1735.pdf,2,069Do000003S1juIAC,ContentVersion,false,,2023-02-28T22:35:19.000+0000
a4NDo0000012ROKMA2,Q-60024-20230228-1431.pdf,a4VDo000000wrh0MAA,Q-60024-20230228-1431.pdf,2,069Do000003S1nMIAS,ContentVersion,false,,2023-02-28T22:32:36.000+0000
