Id,SBQQ__Product__c,SBQQ__Product__r.Name,Product_Line__c,SBQQ__Group__c,SBQQ__Group__r.Name
a6CDo0000012LsoMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LspMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LsqMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LsvMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LswMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LsxMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LsyMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LszMAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012Lt0MAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012Lt1MAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012Lt3MAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012Lt4MAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012Lt6MAE,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LtFMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LtIMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LtJMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LtQMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LtLMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LtMMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LtNMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LtOMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LtPMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
a6CDo0000012LtKMAU,01tDo000000UZSRIA4,The Blue Book - Alpha Listing,Advertising,a6ADo000000snZqMAI,Zero
