Id,SBQQ__Contract__r.ContractNumber,SBQQ__Product__r.Name,Is_Subscription_Valid_Text__c
a6SDo000000kCIGMA2,7020572,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBh6MAE,7020573,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCIHMA2,7020573,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBieMAE,7020574,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCINMA2,7020574,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBh8MAE,7020575,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCIOMA2,7020575,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZcMAM,7020576,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCIPMA2,7020576,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZdMAM,7020577,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCITMA2,7020577,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhAMAU,7020578,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCIVMA2,7020578,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZfMAM,7020579,IMS Private Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhBMAU,7020579,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCIZMA2,7020579,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBmkMAE,7020580,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCIaMAM,7020580,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBmlMAE,7020581,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCIeMAM,7020581,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhDMAU,7020582,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCIgMAM,7020582,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhEMAU,7020583,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCIkMAM,7020583,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBmoMAE,7020585,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCIqMAM,7020585,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZkMAM,7020586,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCItMAM,7020586,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBmpMAE,7020587,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCIuMAM,7020587,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhIMAU,7020588,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJ0MAM,7020588,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBipMAE,7020589,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJ3MAM,7020589,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBmsMAE,7020590,IMS Private Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZnMAM,7020590,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJ5MAM,7020590,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZpMAM,7020591,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJCMA2,7020591,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBisMAE,7020592,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJEMA2,7020592,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhNMAU,7020593,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJJMA2,7020593,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBmxMAE,7020594,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJPMA2,7020594,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBivMAE,7020595,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJQMA2,7020595,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBiwMAE,7020596,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJUMA2,7020596,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBZvMAM,7020597,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJZMA2,7020597,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBn0MAE,7020598,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJaMAM,7020598,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhSMAU,7020599,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJcMAM,7020599,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBn1MAE,7020600,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJeMAM,7020600,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBizMAE,7020601,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJfMAM,7020601,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhTMAU,7020602,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCJgMAM,7020602,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBCIMA2,7020603,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhYMAU,7020603,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBIUMA2,7020604,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhaMAE,7020604,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBIVMA2,7020605,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBj4MAE,7020605,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBIXMA2,7020606,IMS Private Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBAHMA2,7020606,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBn8MAE,7020606,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBCMMA2,7020607,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBnAMAU,7020607,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBAJMA2,7020608,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBnFMAU,7020608,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBGVMA2,7020609,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBnHMAU,7020609,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBCOMA2,7020610,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBnIMAU,7020610,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBAKMA2,7020611,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBnJMAU,7020611,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBIbMAM,7020612,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBnNMAU,7020612,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBGXMA2,7020613,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBnOMAU,7020613,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBIcMAM,7020614,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBnRMAU,7020614,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBCRMA2,7020615,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBnTMAU,7020615,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBCSMA2,7020616,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBnXMAU,7020616,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBIeMAM,7020617,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBnZMAU,7020617,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBAQMA2,7020619,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBngMAE,7020619,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBGdMAM,7020620,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBnmMAE,7020620,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBIjMAM,7020621,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBj8MAE,7020621,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBCZMA2,7020622,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBjEMAU,7020622,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBAWMA2,7020624,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBjIMAU,7020624,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBInMAM,7020625,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBjMMAU,7020625,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBItMAM,7020626,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
