BB_Account_Sequence__c,BB_KB_Cancellation__c,BB_Last_Access_Date__c,BB_Stats__c
982040-0,TRUE,2023-05-16T13:22:00Z,Review:68  BId:7  Tmins:262 PageViews:69
1378435-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
2089299-0,TRUE,2023-05-15T16:37:00Z,Review:0  BId:0  Tmins:11 PageViews:0
2303500-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
4173263-0,TRUE,,Review:1  BId:1  Tmins: PageViews:
4256532-0,TRUE,2023-01-31T15:48:00Z,Review:6  BId:1  Tmins:2 PageViews:0
4699935-0,TRUE,2023-05-02T17:29:00Z,Review:22  BId:4  Tmins:9 PageViews:2
4719501-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
4742657-0,TRUE,2023-05-11T12:38:00Z,Review:4  BId:2  Tmins:42 PageViews:4
4974254-0,TRUE,2023-04-21T15:05:00Z,Review:1  BId:0  Tmins:4 PageViews:4
5709061-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
5811795-0,TRUE,2023-05-16T15:32:00Z,Review:5  BId:5  Tmins:2 PageViews:1
5934945-0,TRUE,2023-03-30T13:32:00Z,Review:5  BId:53  Tmins:50 PageViews:17
6058744-0,TRUE,2023-04-17T00:01:00Z,Review:1  BId:0  Tmins:5 PageViews:0
6186030-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
6220895-0,TRUE,2023-05-05T09:22:00Z,Review:40  BId:5  Tmins:8 PageViews:1
6416947-0,TRUE,2023-05-03T15:30:00Z,Review:1  BId:0  Tmins:9 PageViews:0
6495883-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
6568739-0,TRUE,2023-03-23T15:03:00Z,Review:16  BId:2  Tmins:29 PageViews:14
6694078-0,TRUE,2023-04-27T10:22:00Z,Review:0  BId:0  Tmins:33 PageViews:2
7472551-0,TRUE,2023-04-18T14:49:00Z,Review:1  BId:0  Tmins:2 PageViews:0
7655995-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7669939-0,TRUE,2023-05-16T18:13:00Z,Review:43  BId:4  Tmins:269 PageViews:70
7848821-0,TRUE,2023-04-19T14:42:00Z,Review:10  BId:1  Tmins:1 PageViews:0
8044412-0,TRUE,2023-05-15T16:25:00Z,Review:16  BId:0  Tmins:23 PageViews:12
8279165-0,TRUE,2023-04-30T23:00:00Z,Review:34  BId:13  Tmins:210 PageViews:86
8308562-0,TRUE,2023-01-19T16:29:00Z,Review:4  BId:0  Tmins:5 PageViews:2
8321751-0,TRUE,2023-05-16T09:54:00Z,Review:28  BId:12  Tmins:75 PageViews:42
8461812-0,TRUE,2023-01-12T20:00:00Z,Review:5  BId:0  Tmins:2 PageViews:1
8479786-0,TRUE,2023-04-27T23:30:00Z,Review:16  BId:4  Tmins:2 PageViews:0
8625052-0,TRUE,2023-03-27T09:29:00Z,Review:0  BId:0  Tmins:4 PageViews:0
