Id,Amendment_Type__c,SBQQ__AmendmentStartDate__c
800Do000000xHe0IAE,Cancellation,2022-11-01
800Do000000xHhbIAE,Cancellation,2022-11-01
800Do000000xHqVIAU,Cancellation,2022-11-01
800Do000000xHtWIAU,Cancellation,2022-11-01
800Do000000xHyoIAE,Cancellation,2022-11-01
800Do000000xI26IAE,Cancellation,2022-11-01
800Do000000xAg3IAE,Cancellation,2022-11-01
800Do000000xB0oIAE,Cancellation,2022-11-01
800Do000000xBCFIA2,Cancellation,2022-11-01
800Do000000xBMSIA2,Cancellation,2022-11-01
800Do000000xBN0IAM,Cancellation,2022-11-01
800Do000000xBNwIAM,Cancellation,2022-11-01
800Do000000xBY8IAM,Cancellation,2022-11-01
800Do000000xBocIAE,Cancellation,2022-11-01
800Do000000xBtGIAU,Cancellation,2022-11-01
800Do000000xC0EIAU,Cancellation,2022-11-01
800Do000000xC0GIAU,Cancellation,2022-11-01
800Do000000xCS3IAM,Cancellation,2022-11-01
800Do000000xCS5IAM,Cancellation,2022-11-01
800Do000000xCS6IAM,Cancellation,2022-11-01
800Do000000xCSBIA2,Cancellation,2022-11-01
800Do000000xCapIAE,Cancellation,2022-11-01
800Do000000xCaqIAE,Cancellation,2022-11-01
800Do000000xCihIAE,Cancellation,2022-11-01
800Do000000xEBPIA2,Cancellation,2022-11-01
800Do000000xEDCIA2,Cancellation,2022-11-01
800Do000000xEaMIAU,Cancellation,2022-11-01
800Do000000xEhyIAE,Cancellation,2022-11-01
800Do000000xEjNIAU,Cancellation,2022-11-01
800Do000000xF3IIAU,Cancellation,2022-11-01
800Do000000xF6NIAU,Cancellation,2022-11-01
800Do000000xFewIAE,Cancellation,2022-11-01
800Do000000xFq4IAE,Cancellation,2022-11-01
800Do000000xFwZIAU,Cancellation,2022-11-01
800Do000000xFz2IAE,Cancellation,2022-11-01
800Do000000xG0zIAE,Cancellation,2022-11-01
800Do000000xG77IAE,Cancellation,2022-11-01
800Do000000xG79IAE,Cancellation,2022-11-01
800Do000000xGKPIA2,Cancellation,2022-11-01
800Do000000xGKrIAM,Cancellation,2022-11-01
800Do000000xGLvIAM,Cancellation,2022-11-01
800Do000000xGM6IAM,Cancellation,2022-11-01
800Do000000xGeQIAU,Cancellation,2022-11-01
800Do000000xGeYIAU,Cancellation,2022-11-01
800Do000000xGefIAE,Cancellation,2022-11-01
800Do000000xGfVIAU,Cancellation,2022-11-01
800Do000000xHRCIA2,Cancellation,2022-11-01
800Do000000xHYkIAM,Cancellation,2022-11-01
800Do000000xHtiIAE,Cancellation,2022-11-01
800Do000000xHuEIAU,Cancellation,2022-11-01
800Do000000xHuGIAU,Cancellation,2022-11-01
800Do000000xHynIAE,Cancellation,2022-11-01
800Do000000xI13IAE,Cancellation,2022-11-01
800Do000000xI21IAE,Cancellation,2022-11-01
800Do000000x91pIAA,Cancellation,2022-11-01
800Do000000x9j9IAA,Cancellation,2022-11-01
800Do000000xAOOIA2,Cancellation,2022-11-01
800Do000000xAfwIAE,Cancellation,2022-11-01
800Do000000xAj9IAE,Cancellation,2022-11-01
800Do000000xAuzIAE,Cancellation,2022-11-01
800Do000000xB24IAE,Cancellation,2022-11-01
800Do000000xB65IAE,Cancellation,2022-11-01
800Do000000xBCtIAM,Cancellation,2022-11-01
800Do000000xBFgIAM,Cancellation,2022-11-01
800Do000000xBHUIA2,Cancellation,2022-11-01
800Do000000xBNRIA2,Cancellation,2022-11-01
800Do000000xBebIAE,Cancellation,2022-11-01
800Do000000xBhgIAE,Cancellation,2022-11-01
800Do000000xBjUIAU,Cancellation,2022-11-01
800Do000000xBryIAE,Cancellation,2022-11-01
800Do000000xC00IAE,Cancellation,2022-11-01
800Do000000xC07IAE,Cancellation,2022-11-01
800Do000000xC34IAE,Cancellation,2022-11-01
800Do000000xCRfIAM,Cancellation,2022-11-01
800Do000000xDFOIA2,Cancellation,2022-11-01
800Do000000xDdjIAE,Cancellation,2022-11-01
800Do000000xDsKIAU,Cancellation,2022-11-01
800Do000000xE3OIAU,Cancellation,2022-11-01
800Do000000xEKtIAM,Cancellation,2022-11-01
800Do000000xEOHIA2,Cancellation,2022-11-01
800Do000000xEVsIAM,Cancellation,2022-11-01
800Do000000xEiLIAU,Cancellation,2022-11-01
800Do000000xEw7IAE,Cancellation,2022-11-01
800Do000000xF6SIAU,Cancellation,2022-11-01
800Do000000xFDUIA2,Cancellation,2022-11-01
800Do000000xFDhIAM,Cancellation,2022-11-01
800Do000000xFExIAM,Cancellation,2022-11-01
800Do000000xFIMIA2,Cancellation,2022-11-01
800Do000000xFe1IAE,Cancellation,2022-11-01
800Do000000xFlqIAE,Cancellation,2022-11-01
800Do000000xFpcIAE,Cancellation,2022-11-01
800Do000000xFwBIAU,Cancellation,2022-11-01
800Do000000xG7DIAU,Cancellation,2022-11-01
800Do000000xGA8IAM,Cancellation,2022-11-01
800Do000000xGB7IAM,Cancellation,2022-11-01
800Do000000xGICIA2,Cancellation,2022-11-01
