Id,Amendment_Type__c,SBQQ__AmendmentStartDate__c
800Do000000xDhUIAU,Cancellation,11/1/2022
800Do000000xDsLIAU,Cancellation,11/1/2022
800Do000000xE9pIAE,Cancellation,11/1/2022
800Do000000xEm8IAE,Cancellation,11/1/2022
800Do000000xFDJIA2,Cancellation,11/1/2022
800Do000000xFGjIAM,Cancellation,11/1/2022
800Do000000xFIJIA2,Cancellation,11/1/2022
800Do000000xFT5IAM,Cancellation,11/1/2022
800Do000000xFaFIAU,Cancellation,11/1/2022
800Do000000xFfEIAU,Cancellation,11/1/2022
800Do000000xFo3IAE,Cancellation,11/1/2022
800Do000000xFvGIAU,Cancellation,11/1/2022
800Do000000xFyHIAU,Cancellation,11/1/2022
800Do000000xFycIAE,Cancellation,11/1/2022
800Do000000xGIwIAM,Cancellation,11/1/2022
800Do000000xGLCIA2,Cancellation,11/1/2022
800Do000000xGMuIAM,Cancellation,11/1/2022
800Do000000xGMwIAM,Cancellation,11/1/2022
800Do000000xGVBIA2,Cancellation,11/1/2022
800Do000000xGVHIA2,Cancellation,11/1/2022
800Do000000xGVKIA2,Cancellation,11/1/2022
800Do000000xGVLIA2,Cancellation,11/1/2022
800Do000000xGVOIA2,Cancellation,11/1/2022
800Do000000xGfOIAU,Cancellation,11/1/2022
800Do000000xGfgIAE,Cancellation,11/1/2022
800Do000000xGfhIAE,Cancellation,11/1/2022
800Do000000xGftIAE,Cancellation,11/1/2022
800Do000000xGnnIAE,Cancellation,11/1/2022
800Do000000xGnoIAE,Cancellation,11/1/2022
800Do000000xHQbIAM,Cancellation,11/1/2022
800Do000000xHVQIA2,Cancellation,11/1/2022
800Do000000xHg4IAE,Cancellation,11/1/2022
800Do000000xHpnIAE,Cancellation,11/1/2022
800Do000000xHqpIAE,Cancellation,11/1/2022
800Do000000xHsDIAU,Cancellation,11/1/2022
800Do000000xI0hIAE,Cancellation,11/1/2022
800Do000000xI2FIAU,Cancellation,11/1/2022
800Do000000xA29IAE,Cancellation,11/1/2022
800Do000000xADyIAM,Cancellation,11/1/2022
800Do000000xAkhIAE,Cancellation,11/1/2022
800Do000000xB4jIAE,Cancellation,11/1/2022
800Do000000xBRMIA2,Cancellation,11/1/2022
800Do000000xBZ8IAM,Cancellation,11/1/2022
800Do000000xBcmIAE,Cancellation,11/1/2022
800Do000000xBcvIAE,Cancellation,11/1/2022
800Do000000xBnnIAE,Cancellation,11/1/2022
800Do000000xC4lIAE,Cancellation,11/1/2022
800Do000000xC4pIAE,Cancellation,11/1/2022
800Do000000xC5iIAE,Cancellation,11/1/2022
800Do000000xC9cIAE,Cancellation,11/1/2022
800Do000000xC9eIAE,Cancellation,11/1/2022
800Do000000xC9hIAE,Cancellation,11/1/2022
800Do000000xC9sIAE,Cancellation,11/1/2022
800Do000000xCEmIAM,Cancellation,11/1/2022
800Do000000xCQ5IAM,Cancellation,11/1/2022
800Do000000xCRzIAM,Cancellation,11/1/2022
800Do000000xCbYIAU,Cancellation,11/1/2022
800Do000000xCbbIAE,Cancellation,11/1/2022
800Do000000xF5PIAU,Cancellation,11/1/2022
800Do000000xFEEIA2,Cancellation,11/1/2022
800Do000000xFI9IAM,Cancellation,11/1/2022
800Do000000xFPwIAM,Cancellation,11/1/2022
800Do000000xFdSIAU,Cancellation,11/1/2022
800Do000000xFkdIAE,Cancellation,11/1/2022
