Id,BB_Stats__c,Account_Number__c,BB_Last_Sync_Date__c,NS_Invoice_Due_Date__c,BB_Account__c,BB_Account_Sequence__c,Revenue_Account_ID__c,NS_Invoice_Amt_Due__c
0013i000005B3yVAAS,127853,,,,127853,127853-0,,0
0013i000005B3ydAAC,7008003,,,,7008003,7008003-0,,0
0013i000005B3zNAAS,6861301,,,,6861301,6861301-0,,0
0013i000005B3zVAAS,813482,,,,813482,813482-0,,0
0013i000005B40HAAS,506556,,,,506556,506556-0,,0
0013i000005B40sAAC,836376,,,,836376,836376-0,,0
0013i000005B41VAAS,5218734,,,,5218734,5218734-0,,0
0013i000005B41nAAC,412141,,,,412141,412141-0,,0
0013i000005CrmKAAS,5124831,,,,5124831,5124831-0,,0
0013i000006zIUSAA2,6042560,,,,6042560,6042560-0,,0
0013i000006zIUUAA2,8414667,,,,8414667,8414667-0,,0
0013i000006zIUeAAM,81808,,,,81808,81808-0,,0
0013i000006zIUzAAM,855548,,,,855548,855548-0,,0
0013i000006zIVTAA2,7513319,,,,7513319,7513319-0,,0
0013i000006zIWCAA2,715196,,,,715196,715196-0,,0
0013i000006zIWLAA2,126700,,,,126700,126700-0,,0
0013i000006zIWRAA2,520979,,,,520979,520979-0,,0
0013i000006zIWZAA2,11258,,,,11258,11258-0,,0
0013i000006zIWbAAM,912089,,,,912089,912089-0,,0
0013i000006zIWgAAM,519263,,,,519263,519263-0,,0
0013i000006zIWhAAM,630340,,,,630340,630340-0,,0
0013i000006zIZqAAM,4304105,,,,4304105,4304105-0,,0
0013i000006zIZtAAM,343455,,,,343455,343455-0,,0
0013i000006zIZuAAM,102191,,,,102191,102191-0,,0
0013i000006zIa4AAE,5571118,,,,5571118,5571118-0,,0
0013i000006zIefAAE,7083109,,,,7083109,7083109-0,,0
0013i000006zIegAAE,364025,,,,364025,364025-0,,0
0013i000006zIfVAAU,144592,,,,144592,144592-0,,0
0013i000006zIfaAAE,724591,,,,724591,724591-0,,0
0013i000006zIhmAAE,405899,,,2023-06-01,405899,405899-0,,473
0013i000006zIi6AAE,752294,,,,752294,752294-0,,0
0013i000006zIiBAAU,6888883,,,,6888883,6888883-0,,0
0013i000006zIiLAAU,7271656,,,,7271656,7271656-0,,0
0013i000006zIiMAAU,351465,,,,351465,351465-0,,0
0013i000006zIiPAAU,375354,,,,375354,375354-0,,0
0013i000006zIiQAAU,4609068,,,,4609068,4609068-0,,0
0013i000006zIiTAAU,4448435,,,,4448435,4448435-0,,0
0013i000006zIiVAAU,520601,,,,520601,520601-0,,0
0013i000006zIigAAE,6888748,,,,6888748,6888748-0,,0
0013i000006zIimAAE,506038,,,,506038,506038-0,,0
0013i000006zIinAAE,2598253,,,,2598253,2598253-0,,0
0013i000006zIipAAE,1077767,,,,1077767,1077767-0,,0
0013i000006zIiqAAE,4257758,,,,4257758,4257758-0,,0
0013i000006zIixAAE,522284,,,,522284,522284-0,,0
0013i000006zIj5AAE,519371,,,,519371,519371-0,,0
0013i000006zIjFAAU,481186,,,,481186,481186-0,,0
0013i000006zIjIAAU,398216,,,,398216,398216-0,,0
0013i000006zIjPAAU,7840485,,,,7840485,7840485-0,,0
0013i000006zIjfAAE,4299517,,,,4299517,4299517-0,,0
0013i000006zIjnAAE,6927588,,,,6927588,6927588-0,,0
0013i000006zIjyAAE,715212,,,,715212,715212-0,,0
0013i000006zIjzAAE,113796,,,,113796,113796-0,,0
0013i000006zIk4AAE,1078049,,,,1078049,1078049-0,,0
0013i000006zIkDAAU,779571,,,,779571,779571-0,D00547513,0
0013i000006zIkPAAU,2756736,,,,2756736,2756736-0,,0
0013i000006zIkRAAU,6934329,,,,6934329,6934329-0,,0
0013i000006zIkZAAU,4739825,,,,4739825,4739825-0,,0
0013i000006zIkbAAE,367791,,,,367791,367791-0,,0
0013i000006zIkjAAE,6154243,,,,6154243,6154243-0,,0
0013i000006zIkqAAE,512559,,,,512559,512559-0,,0
0013i000006zIkrAAE,246370,,,,246370,246370-0,,0
0013i000006zIktAAE,200276,,,,200276,200276-0,,0
0013i000006zIl0AAE,8349245,,,,8349245,8349245-0,,0
0013i000006zIl8AAE,8534695,,,,8534695,8534695-0,,0
0013i000006zIl9AAE,8025376,,,2023-04-01,8025376,8025376-0,D00072733,625
0013i000006zIlGAAU,102190,,,,102190,102190-0,,0
0013i000006zIlcAAE,518817,,,2023-03-28,518817,518817-0,D00091480,655.13
0013i000006zIleAAE,4456631,,,,4456631,4456631-0,,0
0013i000006zIlhAAE,519330,,,,519330,519330-0,,0
0013i000006zIloAAE,923767,,,,923767,923767-0,,0
0013i000006zIlqAAE,413113,,,,413113,413113-0,,0
0013i000006zIlsAAE,510180,,,,510180,510180-0,,0
0013i000006zIluAAE,2004915,,,,2004915,2004915-0,,0
0013i000006zIm6AAE,521848,,,,521848,521848-0,,0
0013i000006zImBAAU,6887975,,,,6887975,6887975-0,D00124970,0
0013i000006zImGAAU,4310457,,,,4310457,4310457-0,,0
0013i000006zImJAAU,8512242,,,,8512242,8512242-0,D00137861,0
0013i000006zImaAAE,1378951,,,,1378951,1378951-0,,0
