Id,Sprint__c,Effort__c
a8rDo000000woKAIAY,Backlog,
a8rDo000000woKFIAY,Backlog,Low
a8rDo000000woKKIAY,Backlog,
a8rDo000000woKLIAY,Backlog,
a8rDo000000woKPIAY,Backlog,
a8rDo000000woKUIAY,Backlog,
a8rDo000000woKZIAY,Backlog,
a8rDo000000woKeIAI,Backlog,
a8rDo000000woKjIAI,Backlog,
a8rDo000000woKoIAI,Backlog,
a8rDo000000woKtIAI,Backlog,
a8rDo000000woKyIAI,Backlog,
a8rDo000000woL3IAI,Backlog,
a8rDo000000woL8IAI,Backlog,
a8rDo000000woLDIAY,Backlog,
a8rDo000000woLIIAY,Backlog,
a8rDo000000woLNIAY,Backlog,
a8rDo000000woLSIAY,Backlog,
a8rDo000000woLXIAY,Backlog,
a8rDo000000woLcIAI,Backlog,
a8rDo000000woLhIAI,Backlog,
a8rDo000000woLmIAI,Backlog,
a8rDo000000woLrIAI,Backlog,
a8rDo000000woLwIAI,Backlog,
a8rDo000000woM1IAI,Backlog,
a8rDo000000woM6IAI,Backlog,
a8rDo000000woMBIAY,Backlog,
a8rDo000000woMGIAY,Backlog,
a8rDo000000woMQIAY,Backlog,
a8rDo000000woMVIAY,Backlog,
a8rDo000000woMaIAI,Backlog,
a8rDo000000woMfIAI,Backlog,
a8rDo000000woMkIAI,Backlog,
