Id,Amendment_Type__c,Auto_Close_Cancellation__c,SBQQ__AmendmentOwner__c
800Do000000xGfoIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC9sIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xH5PIAU,Cancellation,TRUE,0053i000002SxjyAAC
#N/A
800Do000000xDKDIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x9D5IAI,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x9DfIAI,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xDULIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x9EvIAI,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xDdvIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHinIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x96wIAA,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x97EIAQ,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xDSrIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x9uyIAA,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xEDnIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x9fOIAQ,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xA92IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xEPAIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAHmIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xEYRIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAJxIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xEBOIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xEBeIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xA2VIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xADOIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHQnIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHbFIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFElIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAihIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHnIIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBD6IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAlBIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBNHIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAvAIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHclIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFbEIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBY5IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFSuIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBFtIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBFwIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBG9IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFvXIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHooIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFepIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHp2IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xI0QIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xG7AIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBTQIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHpMIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBeBIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBedIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGJrIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xG98IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGRoIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGSwIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGTZIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBqEIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xI1jIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCQgIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCQrIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCRPIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGL1IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGLaIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGLhIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGLlIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGeqIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHqfIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGMNIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC1TIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGfMIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGfNIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xI28IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCbFIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xI29IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC1ZIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGfWIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC1bIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC1eIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCbNIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGfaIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGMpIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCylIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xH5FIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xD9eIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHhbIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHEmIAM,Cancellation,TRUE,0053i000002SxjyAAC
