Id,SBQQ__PaymentTerms__c,ApprovalStatus__c
a6GDo0000000Fo3MAE,NET30,
a6GDo0000000FuyMAE,NET30,
a6GDo0000000FvDMAU,NET30,
a6GDo0000000FeOMAU,NET30,
a6GDo0000000FbkMAE,NET30,Sent to Customer
a6GDo0000000FvSMAU,NET30,
a6GDo0000000Fv9MAE,NET30,
a6GDo0000000FvcMAE,NET30,
a6GDo0000000FmSMAU,NET30,
a6GDo0000000FhrMAE,NET30,
a6GDo0000000FvhMAE,NET30,
a6GDo0000000FhsMAE,NET30,
a6GDo0000000FmYMAU,NET30,Sent to Customer
a6GDo0000000FkVMAU,NET30,
a6GDo0000000FZYMA2,NET30,
a6GDo0000000FvdMAE,NET30,
a6GDo0000000FnFMAU,NET30,
a6GDo0000000Fm8MAE,NET30,
a6GDo0000000Fw1MAE,NET30,
a6GDo0000000FcWMAU,NET30,
a6GDo0000000FljMAE,NET30,
a6GDo0000000Fw6MAE,NET30,
a6GDo0000000FZdMAM,NET30,Sent to Customer
a6GDo0000000FwBMAU,NET30,Sent to Customer
a6GDo0000000Fj9MAE,NET30,Approved
a6GDo0000000FhNMAU,NET30,
a6GDo0000000FwGMAU,NET30,
a6GDo0000000FtIMAU,NET30,
a6GDo0000000FYfMAM,NET30,
a6GDo0000000FvPMAU,NET30,
a6GDo0000000FwQMAU,NET30,
a6GDo0000000FwLMAU,NET30,
a6GDo0000000FhOMAU,NET30,
a6GDo0000000Fn1MAE,NET30,
a6GDo0000000FsoMAE,NET30,
a6GDo0000000FwaMAE,NET30,
a6GDo0000000FwVMAU,NET30,
a6GDo0000000FvAMAU,NET30,
a6GDo0000000FwgMAE,NET30,
a6GDo0000000FhWMAU,NET30,
a6GDo0000000FboMAE,NET30,
a6GDo0000000FhdMAE,NET30,Sent to Customer
a6GDo0000000FwzMAE,NET30,Sent to Customer
a6GDo0000000Ft4MAE,NET30,Ready to Send
a6GDo0000000FxEMAU,NET30,Ready to Send
a6GDo0000000Fx9MAE,NET30,
a6GDo0000000FxJMAU,NET30,
a6GDo0000000FxOMAU,NET30,
a6GDo0000000Fu1MAE,NET30,
a6GDo0000000FxYMAU,NET30,
a6GDo0000000FxTMAU,NET30,
a6GDo0000000FXKMA2,NET30,
a6GDo0000000FenMAE,NET30,
a6GDo0000000FxdMAE,NET30,
a6GDo0000000FwCMAU,NET30,
a6GDo0000000ForMAE,NET30,
